0,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
91,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,1988
92,Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999
93,SPECT Heart,Multivariate,Classification,Categorical,267,22,2001
94,SPECTF Heart,Multivariate,Classification,Integer,267,44,2001
95,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,
96,Statlog Project,,,,,,1992
97,Student Loan Relational,Domain-Theory,,,1000,,1993
98,Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5,1997
99,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991
100,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21,1987
101,Trains,Multivariate,Classification,Categorical,10,32,1994
102,University,Multivariate,Classification,"Categorical, Integer",285,17,1988
103,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987
104,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,1993
105,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988
106,Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40,1988
107,Wine,Multivariate,Classification,"Integer, Real",178,13,1991
108,Yeast,Multivariate,Classification,Real,1484,8,1996
109,Zoo,Multivariate,Classification,"Categorical, Integer",101,17,1990
110,Undocumented,,,,,,
111,Twenty Newsgroups,Text,,,20000,,1999
112,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999
113,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002
114,US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68,
115,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000
116,Coil 1999 Competition Data,Multivariate,,"Categorical, Real",340,17,1999
117,Corel Image Features,Multivariate,,Real,68040,89,1999
118,E. Coli Genes,Relational,,,,,2001
119,EEG Database,"Multivariate, Time-Series",,"Categorical, Integer, Real",122,4,1999
120,El Nino,Spatio-temporal,,"Integer, Real",178080,12,1999
121,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender-Systems,Categorical,50672,,2000
122,CMU Face Images,Image,Classification,Integer,640,,1999
123,Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000,86,2000
124,Internet Usage Data,Multivariate,,"Categorical, Integer",10104,72,1999
125,IPUMS Census Database,Multivariate,,"Categorical, Integer",256932,61,1999
126,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,
127,KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481,1998
128,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42,1999
129,M. Tuberculosis Genes,Relational,,,,,2001
130,Movie,"Multivariate, Relational",,,10000,,1999
131,MSNBC.com Anonymous Web Data,Sequential,,Categorical,989818,,
132,NSF Research Award Abstracts 1990-2003,Text,,,129000,,2003
133,Pioneer-1 Mobile Robot Data,"Multivariate, Time-Series",,"Categorical, Real",,,1999
134,Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",,,100000,,1999
135,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997
136,Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999
137,Synthetic Control Chart Time Series,Time-Series,"Classification, Clustering",Real,600,,1999
138,Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998
139,UNIX User Data,"Text, Sequential",,,,,
140,Volcanoes on Venus - JARtool experiment,Image,Classification,,,,
141,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,
142,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20,1994
143,Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,
144,Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993
145,Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19,1990
146,Statlog (Shuttle),Multivariate,Classification,Integer,58000,9,
147,Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,
148,Connectionist Bench (Nettalk Corpus),Multivariate,,Categorical,20008,4,
149,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,
150,Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10,
151,Economic Sanctions,Domain-Theory,,,,,
152,Protein Data,,,,,,
153,Cloud,Multivariate,,Real,1024,10,1989
154,CalIt2 Building People Counts,"Multivariate, Time-Series",,"Categorical, Integer",10080,4,2006
155,Dodgers Loop Sensor,"Multivariate, Time-Series",,"Categorical, Integer",50400,3,2006
156,Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11,2007
157,MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11,2007
158,UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364,,2007
159,Mammographic Mass,Multivariate,Classification,Integer,961,6,2007
160,Forest Fires,Multivariate,Regression,Real,517,13,2008
161,Reuters Transcribed Subset,Text,Classification,,200,,2008
